,Init Mode,Learning Rate,Batch Size,# of Epochs,Accuracy
702,gauss,0.6437900000000001,4,1000,64.0
710,gauss,0.6437900000000001,16,1000,64.0
712,gauss,0.6437900000000001,32,100,64.0
729,gauss,0.7853300000000001,4,500,64.0
753,gauss,0.7853300000000001,256,500,64.0
757,gauss,0.85272,4,500,64.0
781,gauss,0.85272,256,500,64.0
815,gauss,0.15482,4,2000,64.0
820,gauss,0.15482,16,100,64.0
823,gauss,0.15482,16,2000,64.0
839,gauss,0.15482,256,2000,64.0
2,zero,0.9147400000000001,4,1000,63.0
30,zero,0.9149,4,1000,63.0
59,zero,0.45595,4,2000,63.0
61,zero,0.45595,8,500,63.0
84,zero,0.21651,4,100,63.0
140,zero,0.6437900000000001,4,100,63.0
168,zero,0.7853300000000001,4,100,63.0
188,zero,0.7853300000000001,128,100,63.0
272,zero,0.15482,128,100,63.0
281,xavier,0.9147400000000001,4,500,63.0
282,xavier,0.9147400000000001,4,1000,63.0
309,xavier,0.9149,4,500,63.0
310,xavier,0.9149,4,1000,63.0
339,xavier,0.45595,4,2000,63.0
352,xavier,0.45595,64,100,63.0
388,xavier,0.21651,256,100,63.0
408,xavier,0.41642,64,100,63.0
412,xavier,0.41642,128,100,63.0
458,xavier,0.7853300000000001,16,1000,63.0
508,xavier,0.013420000000000001,8,100,63.0
517,xavier,0.013420000000000001,32,500,63.0
524,xavier,0.013420000000000001,128,100,63.0
556,xavier,0.15482,256,100,63.0
559,xavier,0.15482,256,2000,63.0
562,gauss,0.9147400000000001,4,1000,63.0
572,gauss,0.9147400000000001,32,100,63.0
590,gauss,0.9149,4,1000,63.0
600,gauss,0.9149,32,100,63.0
619,gauss,0.45595,4,2000,63.0
648,gauss,0.21651,8,100,63.0
656,gauss,0.21651,32,100,63.0
672,gauss,0.41642,4,100,63.0
706,gauss,0.6437900000000001,8,1000,63.0
725,gauss,0.6437900000000001,256,500,63.0
738,gauss,0.7853300000000001,16,1000,63.0
748,gauss,0.7853300000000001,128,100,63.0
10,zero,0.9147400000000001,16,1000,62.0
20,zero,0.9147400000000001,128,100,62.0
38,zero,0.9149,16,1000,62.0
48,zero,0.9149,128,100,62.0
76,zero,0.45595,128,100,62.0
115,zero,0.41642,4,2000,62.0
117,zero,0.41642,8,500,62.0
146,zero,0.6437900000000001,8,1000,62.0
152,zero,0.6437900000000001,32,100,62.0
155,zero,0.6437900000000001,32,2000,62.0
164,zero,0.6437900000000001,256,100,62.0
170,zero,0.7853300000000001,4,1000,62.0
183,zero,0.7853300000000001,32,2000,62.0
206,zero,0.85272,16,1000,62.0
216,zero,0.85272,128,100,62.0
224,zero,0.013420000000000001,4,100,62.0
290,xavier,0.9147400000000001,16,1000,62.0
305,xavier,0.9147400000000001,256,500,62.0
318,xavier,0.9149,16,1000,62.0
333,xavier,0.9149,256,500,62.0
390,xavier,0.21651,256,1000,62.0
395,xavier,0.41642,4,2000,62.0
397,xavier,0.41642,8,500,62.0
426,xavier,0.6437900000000001,8,1000,62.0
435,xavier,0.6437900000000001,32,2000,62.0
450,xavier,0.7853300000000001,4,1000,62.0
463,xavier,0.7853300000000001,32,2000,62.0
473,xavier,0.7853300000000001,256,500,62.0
478,xavier,0.85272,4,1000,62.0
